game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto 649,1982-06-12,"[3, 11, 12, 14, 41, 43]",13,,2025-06-13T18:57:45.094848,0
Lotto 649,1982-06-19,"[8, 33, 36, 37, 39, 41]",9,,2025-06-13T18:57:45.094848,1
Lotto 649,1982-06-26,"[1, 6, 23, 24, 27, 39]",34,,2025-06-13T18:57:45.094848,2
Lotto 649,1982-07-03,"[3, 9, 10, 13, 20, 43]",34,,2025-06-13T18:57:45.094848,3
Lotto 649,1982-07-10,"[5, 14, 21, 31, 34, 47]",45,,2025-06-13T18:57:45.094848,4
Lotto 649,1982-07-17,"[8, 20, 21, 25, 31, 41]",33,,2025-06-13T18:57:45.094848,5
Lotto 649,1982-07-24,"[18, 25, 28, 33, 36, 42]",7,,2025-06-13T18:57:45.094848,6
Lotto 649,1982-07-31,"[7, 16, 17, 31, 40, 48]",26,,2025-06-13T18:57:45.094848,7
Lotto 649,1982-08-07,"[5, 10, 23, 27, 37, 38]",33,,2025-06-13T18:57:45.094848,8
Lotto 649,1982-08-14,"[4, 15, 30, 37, 46, 48]",3,,2025-06-13T18:57:45.094848,9
Lotto 649,1982-08-21,"[7, 9, 21, 33, 38, 42]",45,,2025-06-13T18:57:45.094848,10
Lotto 649,1982-08-28,"[11, 17, 19, 20, 36, 43]",9,,2025-06-13T18:57:45.094848,11
Lotto 649,1982-09-04,"[7, 14, 17, 20, 37, 47]",34,,2025-06-13T18:57:45.094848,12
Lotto 649,1982-09-11,"[25, 28, 29, 30, 35, 44]",3,,2025-06-13T18:57:45.094848,13
Lotto 649,1982-09-18,"[8, 18, 36, 39, 41, 47]",31,,2025-06-13T18:57:45.094848,14
Lotto 649,1982-09-25,"[9, 12, 13, 14, 44, 48]",18,,2025-06-13T18:57:45.094848,15
Lotto 649,1982-10-02,"[4, 14, 18, 40, 43, 44]",5,,2025-06-13T18:57:45.094848,16
Lotto 649,1982-10-09,"[13, 16, 18, 34, 35, 36]",26,,2025-06-13T18:57:45.094848,17
Lotto 649,1982-10-16,"[11, 23, 25, 28, 29, 36]",27,,2025-06-13T18:57:45.094848,18
Lotto 649,1982-10-23,"[7, 18, 23, 25, 37, 45]",39,,2025-06-13T18:57:45.094848,19
Lotto 649,1982-10-30,"[11, 18, 19, 31, 37, 45]",41,,2025-06-13T18:57:45.094848,20
Lotto 649,1982-11-06,"[8, 14, 16, 18, 31, 48]",45,,2025-06-13T18:57:45.094848,21
Lotto 649,1982-11-13,"[4, 11, 23, 24, 25, 45]",41,,2025-06-13T18:57:45.094848,22
