game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto Max,2009-09-25,"[5, 17, 19, 25, 31, 38, 46]",4,,2025-06-13T18:58:58.545916,0
Lotto Max,2009-10-02,"[8, 27, 28, 29, 31, 32, 35]",11,,2025-06-13T18:58:58.545916,1
Lotto Max,2009-10-09,"[5, 15, 25, 38, 42, 46, 47]",26,,2025-06-13T18:58:58.545916,2
Lotto Max,2009-10-16,"[4, 10, 18, 20, 31, 35, 44]",29,,2025-06-13T18:58:58.545916,3
Lotto Max,2009-10-23,"[4, 7, 10, 12, 23, 25, 36]",18,,2025-06-13T18:58:58.545916,4
Lotto Max,2009-10-30,"[6, 9, 10, 14, 17, 18, 19]",46,,2025-06-13T18:58:58.545916,5
Lotto Max,2009-11-06,"[2, 7, 8, 11, 16, 17, 18]",12,,2025-06-13T18:58:58.545916,6
Lotto Max,2009-11-13,"[8, 18, 27, 28, 38, 41, 48]",36,,2025-06-13T18:58:58.545916,7
Lotto Max,2009-11-20,"[2, 8, 28, 30, 36, 39, 42]",24,,2025-06-13T18:58:58.545916,8
Lotto Max,2009-11-27,"[11, 15, 24, 26, 37, 38, 43]",17,,2025-06-13T18:58:58.545916,9
Lotto Max,2009-12-04,"[1, 6, 13, 19, 32, 35, 40]",7,,2025-06-13T18:58:58.545916,10
Lotto Max,2009-12-11,"[1, 4, 5, 7, 22, 29, 48]",13,,2025-06-13T18:58:58.545916,11
Lotto Max,2009-12-18,"[8, 10, 15, 17, 33, 34, 35]",13,,2025-06-13T18:58:58.545916,12
Lotto Max,2009-12-25,"[8, 9, 12, 13, 29, 30, 31]",47,,2025-06-13T18:58:58.545916,13
Lotto Max,2010-01-01,"[7, 9, 13, 18, 27, 33, 44]",15,,2025-06-13T18:58:58.545916,14
Lotto Max,2010-01-08,"[8, 17, 21, 23, 24, 28, 39]",31,,2025-06-13T18:58:58.545916,15
Lotto Max,2010-01-15,"[12, 17, 22, 30, 34, 43, 49]",48,,2025-06-13T18:58:58.545916,16
Lotto Max,2010-01-22,"[17, 26, 30, 32, 34, 39, 41]",49,,2025-06-13T18:58:58.545916,17
Lotto Max,2010-01-29,"[16, 17, 22, 24, 40, 41, 47]",45,,2025-06-13T18:58:58.545916,18
Lotto Max,2010-02-05,"[10, 19, 25, 29, 39, 41, 42]",21,,2025-06-13T18:58:58.545916,19
Lotto Max,2010-02-12,"[9, 12, 17, 23, 34, 42, 47]",37,,2025-06-13T18:58:58.545916,20
Lotto Max,2010-02-19,"[4, 23, 27, 32, 35, 43, 47]",24,,2025-06-13T18:58:58.545916,21
Lotto Max,2010-02-26,"[2, 27, 30, 32, 35, 36, 38]",39,,2025-06-13T18:58:58.545916,22
Lotto Max,2010-03-05,"[5, 8, 18, 22, 32, 39, 45]",19,,2025-06-13T18:58:58.545916,23
Lotto Max,2010-03-12,"[17, 18, 19, 21, 32, 40, 49]",6,,2025-06-13T18:58:58.545916,24
Lotto Max,2010-03-19,"[1, 3, 6, 34, 37, 42, 45]",27,,2025-06-13T18:58:58.545916,25
Lotto Max,2010-03-26,"[3, 11, 12, 16, 34, 36, 37]",18,,2025-06-13T18:58:58.545916,26
Lotto Max,2010-04-02,"[4, 9, 12, 15, 28, 29, 43]",17,,2025-06-13T18:58:58.545916,27
Lotto Max,2010-04-09,"[11, 16, 29, 30, 31, 33, 42]",24,,2025-06-13T18:58:58.545916,28
Lotto Max,2010-04-16,"[6, 7, 17, 20, 32, 44, 49]",46,,2025-06-13T18:58:58.545916,29
Lotto Max,2010-04-23,"[8, 11, 16, 21, 24, 28, 41]",37,,2025-06-13T18:58:58.545916,30
Lotto Max,2010-04-30,"[1, 3, 4, 5, 16, 32, 33]",41,,2025-06-13T18:58:58.545916,31
Lotto Max,2010-05-07,"[3, 6, 10, 14, 19, 25, 33]",1,,2025-06-13T18:58:58.545916,32
