game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto 649,,"[2, 10, 12, 21, 36, 41]",33,,2025-06-11T22:03:38.884699,0
Lotto 649,,"[7, 8, 9, 10, 26, 33]",19,,2025-06-11T22:03:54.027302,8
Lotto 649,,"[16, 21, 29, 32, 42, 49]",5,,2025-06-11T22:03:54.017535,4
Lotto 649,,"[4, 20, 29, 40, 41, 48]",47,,2025-06-11T22:03:54.011674,2
Lotto 649,,"[7, 24, 25, 34, 43, 44]",13,,2025-06-11T22:03:54.006755,0
Lotto 649,,"[31, 34, 38, 41, 43, 48]",47,,2025-06-11T22:03:52.718323,14
Lotto 649,,"[8, 21, 33, 34, 37, 47]",24,,2025-06-11T22:03:52.712392,12
Lotto 649,,"[1, 8, 19, 33, 46, 49]",2,,2025-06-11T22:03:52.707851,10
Lotto 649,,"[11, 14, 19, 25, 26, 28]",21,,2025-06-11T22:03:52.703143,8
Lotto 649,,"[2, 13, 14, 18, 20, 39]",40,,2025-06-11T22:03:52.697480,6
Lotto 649,,"[5, 10, 11, 15, 27, 49]",25,,2025-06-11T22:03:52.692214,4
Lotto 649,,"[2, 4, 8, 11, 14, 40]",36,,2025-06-11T22:03:52.687545,2
Lotto 649,,"[7, 15, 23, 29, 41, 46]",22,,2025-06-11T22:03:52.682232,0
Lotto 649,,"[26, 28, 33, 41, 42, 49]",45,,2025-06-11T22:03:51.339874,16
Lotto 649,,"[17, 18, 20, 29, 32, 35]",38,,2025-06-11T22:03:51.335186,14
Lotto 649,,"[20, 22, 23, 36, 46, 47]",42,,2025-06-11T22:03:51.330062,12
Lotto 649,,"[3, 16, 21, 28, 39, 43]",8,,2025-06-11T22:03:51.324614,10
Lotto 649,,"[1, 17, 26, 35, 44, 48]",19,,2025-06-11T22:03:51.319912,8
Lotto 649,,"[2, 12, 20, 23, 28, 41]",43,,2025-06-11T22:03:51.314869,6
Lotto 649,,"[4, 15, 18, 20, 37, 40]",43,,2025-06-11T22:03:51.309346,4
